query_id,parent_count,condition,method,cut_edges,component_accuracy,parent_precision,parent_recall,parent_f1,parent_set_exact,component_set_exact
Q0078,2,CLEAN,F1_FUSED_GLOBAL,0,1.0,1.0,1.0,1.0,True,True
Q0078,2,CLEAN,F2_FUSED_HIERARCHICAL,0,1.0,1.0,1.0,1.0,True,True
Q0078,2,CLEAN,ORACLE_FUSED_PARENTSET,0,1.0,1.0,1.0,1.0,True,True
Q0078,2,DROP30,F1_FUSED_GLOBAL,0,1.0,1.0,1.0,1.0,True,True
Q0078,2,DROP30,F2_FUSED_HIERARCHICAL,0,1.0,1.0,1.0,1.0,True,True
Q0078,2,DROP30,ORACLE_FUSED_PARENTSET,0,1.0,1.0,1.0,1.0,True,True
Q0078,2,BRIDGE,F1_FUSED_GLOBAL,0,1.0,1.0,1.0,1.0,True,True
Q0078,2,BRIDGE,F2_FUSED_HIERARCHICAL,3,1.0,1.0,1.0,1.0,True,True
Q0078,2,BRIDGE,ORACLE_FUSED_PARENTSET,3,1.0,1.0,1.0,1.0,True,True
Q0078,2,DROP30_BRIDGE,F1_FUSED_GLOBAL,0,1.0,1.0,1.0,1.0,True,True
Q0078,2,DROP30_BRIDGE,F2_FUSED_HIERARCHICAL,1,1.0,1.0,1.0,1.0,True,True
Q0078,2,DROP30_BRIDGE,ORACLE_FUSED_PARENTSET,1,1.0,1.0,1.0,1.0,True,True
Q0033,2,CLEAN,F1_FUSED_GLOBAL,0,0.3333333333333333,0.5,0.5,0.5,False,False
Q0033,2,CLEAN,F2_FUSED_HIERARCHICAL,1,0.3333333333333333,0.5,0.5,0.5,False,False
Q0033,2,CLEAN,ORACLE_FUSED_PARENTSET,0,0.5,1.0,1.0,1.0,True,False
Q0033,2,DROP30,F1_FUSED_GLOBAL,0,0.3333333333333333,0.5,0.5,0.5,False,False
Q0033,2,DROP30,F2_FUSED_HIERARCHICAL,0,0.3333333333333333,0.5,0.5,0.5,False,False
Q0033,2,DROP30,ORACLE_FUSED_PARENTSET,0,0.5,1.0,1.0,1.0,True,False
Q0033,2,BRIDGE,F1_FUSED_GLOBAL,0,0.3333333333333333,0.5,0.5,0.5,False,False
Q0033,2,BRIDGE,F2_FUSED_HIERARCHICAL,1,0.3333333333333333,0.5,0.5,0.5,False,False
Q0033,2,BRIDGE,ORACLE_FUSED_PARENTSET,0,0.5,1.0,1.0,1.0,True,False
Q0033,2,DROP30_BRIDGE,F1_FUSED_GLOBAL,0,0.3333333333333333,0.5,0.5,0.5,False,False
Q0033,2,DROP30_BRIDGE,F2_FUSED_HIERARCHICAL,0,0.3333333333333333,0.5,0.5,0.5,False,False
Q0033,2,DROP30_BRIDGE,ORACLE_FUSED_PARENTSET,0,0.5,1.0,1.0,1.0,True,False
Q0098,2,CLEAN,F1_FUSED_GLOBAL,0,0.0,0.0,0.0,0.0,False,False
Q0098,2,CLEAN,F2_FUSED_HIERARCHICAL,1,0.0,0.0,0.0,0.0,False,False
Q0098,2,CLEAN,ORACLE_FUSED_PARENTSET,0,1.0,1.0,1.0,1.0,True,True
Q0098,2,DROP30,F1_FUSED_GLOBAL,0,0.0,0.0,0.0,0.0,False,False
Q0098,2,DROP30,F2_FUSED_HIERARCHICAL,1,0.0,0.0,0.0,0.0,False,False
Q0098,2,DROP30,ORACLE_FUSED_PARENTSET,0,1.0,1.0,1.0,1.0,True,True
Q0098,2,BRIDGE,F1_FUSED_GLOBAL,0,0.0,0.0,0.0,0.0,False,False
Q0098,2,BRIDGE,F2_FUSED_HIERARCHICAL,0,0.0,0.0,0.0,0.0,False,False
Q0098,2,BRIDGE,ORACLE_FUSED_PARENTSET,0,0.5,1.0,1.0,1.0,True,False
Q0098,2,DROP30_BRIDGE,F1_FUSED_GLOBAL,0,0.0,0.0,0.0,0.0,False,False
Q0098,2,DROP30_BRIDGE,F2_FUSED_HIERARCHICAL,0,0.0,0.0,0.0,0.0,False,False
Q0098,2,DROP30_BRIDGE,ORACLE_FUSED_PARENTSET,0,0.6666666666666666,1.0,1.0,1.0,True,False
Q0053,2,CLEAN,F1_FUSED_GLOBAL,0,0.0,0.0,0.0,0.0,False,False
Q0053,2,CLEAN,F2_FUSED_HIERARCHICAL,2,0.0,0.0,0.0,0.0,False,False
Q0053,2,CLEAN,ORACLE_FUSED_PARENTSET,0,0.5,1.0,1.0,1.0,True,False
Q0053,2,DROP30,F1_FUSED_GLOBAL,0,0.0,0.0,0.0,0.0,False,False
Q0053,2,DROP30,F2_FUSED_HIERARCHICAL,1,0.0,0.0,0.0,0.0,False,False
Q0053,2,DROP30,ORACLE_FUSED_PARENTSET,0,0.5,1.0,1.0,1.0,True,False
Q0053,2,BRIDGE,F1_FUSED_GLOBAL,0,0.0,0.0,0.0,0.0,False,False
Q0053,2,BRIDGE,F2_FUSED_HIERARCHICAL,0,0.0,0.0,0.0,0.0,False,False
Q0053,2,BRIDGE,ORACLE_FUSED_PARENTSET,0,0.5,1.0,1.0,1.0,True,False
